Parti;Forkortelse;ID;Farve;Valg;Stemmetal;Pct. af stemmer;Mandater;Mandatprocent;Regeringsparti;Statsministerparti;Partileder;Note
Socialistisk Folkeparti;SF;25;#e07ea8;15-09-2011;326.192;9,20%;16;9,14%;SAND;FALSK;Villy Søvndal;
Kristendemokraterne;KD;29;#254264;15-09-2011;28.070;0,79%;0;0,00%;FALSK;FALSK;Per Ørum Jørgensen;
Dansk Folkeparti;DF;41;#e7bf23;15-09-2011;436.726;12,32%;22;12,57%;FALSK;FALSK;Pia Kjærsgaard;
Liberal Alliance;LA;43;#3fb2be;15-09-2011;176.585;4,98%;9;5,14%;FALSK;FALSK;Anders Samuelsen;
Uden for partierne;Uden;99;#a5a5a5;15-09-2011;1.850;0,05%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;18-06-2015;924.940;26,28%;47;26,86%;FALSK;FALSK;Helle Thorning-Schmidt;Efter valgresultatet trådte Thorning-Schmidt tilbage og Mette Frederiksen blev valgt til ny formand.
Det Radikale Venstre;RV;4;#7d329b;18-06-2015;161.009;4,58%;8;4,57%;FALSK;FALSK;Morten Østergaard;
Venstre;V;2;#115eb0;18-06-2015;685.188;19,47%;34;19,43%;SAND;SAND;Lars Løkke Rasmussen;
Det Konservative Folkeparti;K;3;#4c962f;18-06-2015;118.003;3,35%;6;3,43%;FALSK;FALSK;Søren Pape Poulsen;
Enhedslisten;EL;39;#e6801a;18-06-2015;274.463;7,80%;14;8,00%;FALSK;FALSK;Kollektiv ledelse;
Socialistisk Folkeparti;SF;25;#e07ea8;18-06-2015;147.578;4,19%;7;4,00%;FALSK;FALSK;Pia Olsen Dyhr;
Kristendemokraterne;KD;29;#254264;18-06-2015;29.077;0,83%;0;0,00%;FALSK;FALSK;Stig Grenov;
Dansk Folkeparti;DF;41;#e7bf23;18-06-2015;741.746;21,08%;37;21,14%;FALSK;FALSK;Kristian Thulesen Dahl;
Liberal Alliance;LA;43;#3fb2be;18-06-2015;265.129;7,53%;13;7,43%;FALSK;FALSK;Anders Samuelsen;
Alternativet;ALT;44;#a2c96c;18-06-2015;168.788;4,80%;9;5,14%;FALSK;FALSK;Uffe Elbæk;
Uden for partierne;Uden;99;#a5a5a5;18-06-2015;3.066;0,09%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;05-06-2019;914.882;25,90%;48;27,43%;SAND;SAND;Mette Frederiksen;
Det Radikale Venstre;RV;4;#7d329b;05-06-2019;304.714;8,63%;16;9,14%;FALSK;FALSK;Morten Østergaard;
Venstre;V;2;#115eb0;05-06-2019;826.161;23,39%;43;24,57%;FALSK;FALSK;Lars Løkke Rasmussen;
Det Konservative Folkeparti;K;3;#4c962f;05-06-2019;233.865;6,62%;12;6,86%;FALSK;FALSK;Søren Pape Poulsen;
Enhedslisten;EL;39;#e6801a;05-06-2019;245.100;6,94%;13;7,43%;FALSK;FALSK;Kollektiv ledelse;
Socialistisk Folkeparti;SF;25;#e07ea8;05-06-2019;272.304;7,71%;14;8,00%;FALSK;FALSK;Pia Olsen Dyhr;
Kristendemokraterne;KD;29;#254264;05-06-2019;60.944;1,73%;0;0,00%;FALSK;FALSK;Stig Grenov;Stig Grenov tog orlov fra sin formandspost i en måned under valgkampen. I stedet blev Isabella Arendt konstitueret formand i perioden.
Dansk Folkeparti;DF;41;#e7bf23;05-06-2019;308.513;8,74%;16;9,14%;FALSK;FALSK;Kristian Thulesen Dahl;
Liberal Alliance;LA;43;#3fb2be;05-06-2019;82.270;2,33%;4;2,29%;FALSK;FALSK;Anders Samuelsen;
Alternativet;ALT;44;#a2c96c;05-06-2019;104.278;2,95%;5;2,86%;FALSK;FALSK;Uffe Elbæk;
Partiet Klaus Riskær Pedersen;KRP;45;#6c8bb8;05-06-2019;29.600;0,84%;0;0,00%;FALSK;FALSK;Klaus Riskær Pedersen;
Stram Kurs;SK;46;#000000;05-06-2019;63.114;1,79%;0;0,00%;FALSK;FALSK;Rasmus Paludan;
Nye Borgerlige;NB;47;#127b7f;05-06-2019;83.201;2,36%;4;2,29%;FALSK;FALSK;Pernille Vermund;
Uden for partierne;Uden;99;#a5a5a5;05-06-2019;2.774;0,08%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;01-11-2022;971.995;27,50%;50;28,57%;SAND;SAND;Mette Frederiksen;
Det Radikale Venstre;RV;4;#7d329b;01-11-2022;133.931;3,79%;7;4,00%;FALSK;FALSK;Sofie Carsten Nielsen;Efter at de personlige stemmer blev talt på, valgte Sofie Carsten Nielsen at træde tilbage som politisk leder. Martin Lidegaard overtog herefter posten.
Venstre;V;2;#115eb0;01-11-2022;470.546;13,32%;23;13,14%;SAND;FALSK;Jakob Ellemann-Jensen;
Det Konservative Folkeparti;K;3;#4c962f;01-11-2022;194.820;5,51%;10;5,71%;FALSK;FALSK;Lars Løkke Rasmussen;
Enhedslisten;EL;39;#e6801a;01-11-2022;181.452;5,13%;9;5,14%;FALSK;FALSK;Kollektiv ledelse;
Socialistisk Folkeparti;SF;25;#e07ea8;01-11-2022;293.186;8,30%;15;8,57%;FALSK;FALSK;Pia Olsen Dyhr;
Kristendemokraterne;KD;29;#254264;01-11-2022;18.276;0,52%;0;0,00%;FALSK;FALSK;Marianne Karlsmose;
Dansk Folkeparti;DF;41;#e7bf23;01-11-2022;93.428;2,64%;5;2,86%;FALSK;FALSK;Morten Messerschmidt;
Liberal Alliance;LA;43;#3fb2be;01-11-2022;278.656;7,89%;14;8,00%;FALSK;FALSK;Alex Vanopslagh;
Alternativet;ALT;44;#a2c96c;01-11-2022;117.567;3,33%;6;3,43%;FALSK;FALSK;Franciska Rosenkilde;
Nye Borgerlige;NB;47;#127b7f;01-11-2022;129.524;3,67%;6;3,43%;FALSK;FALSK;Pernille Vermund;
Moderaterne;M;48;#b48cd2;01-11-2022;327.699;9,27%;16;9,14%;SAND;FALSK;Lars Løkke Rasmussen;
Danmarksdemokraterne - Inger Støjberg;DD;49;#7896d2;01-11-2022;286.796;8,12%;14;8,00%;FALSK;FALSK;Inger Støjberg;
Frie Grønne;FG;50;#5abe82;01-11-2022;31.787;0,90%;0;0,00%;FALSK;FALSK;Sikandar Siddique;
Uden for partierne;Uden;99;#a5a5a5;01-11-2022;4.288;0,12%;0;0,00%;FALSK;FALSK;;
