Parti;Forkortelse;ID;Farve;Valg;Stemmetal;Pct. af stemmer;Mandater;Mandatprocent;Regeringsparti;Statsministerparti;Partileder;Note
Retsforbundet;RF;17;#b48cd2;23-10-1979;83.238;2,62%;5;2,86%;FALSK;FALSK;;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;23-10-1979;58.901;1,86%;0;0,00%;FALSK;FALSK;Jørgen Jensen;
Socialistisk Folkeparti;SF;25;#e07ea8;23-10-1979;187.284;5,91%;11;6,29%;FALSK;FALSK;Gert Petersen;
Venstresocialisterne;VS;28;#ed5741;23-10-1979;116.047;3,66%;6;3,43%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;23-10-1979;82.133;2,59%;5;2,86%;FALSK;FALSK;Jens Møller;
Fremskridtspartiet;FP;31;#ebca47;23-10-1979;349.243;11,01%;20;11,43%;FALSK;FALSK;Mogens Glistrup;
Centrum-Demokraterne;CD;30;#970647;23-10-1979;102.132;3,22%;6;3,43%;FALSK;FALSK;Erhard Jakobsen;
Kommunistisk Arbejderparti;KAP;33;#7d360c;23-10-1979;13.070;0,41%;0;0,00%;FALSK;FALSK;;
Uden for partierne;Uden;99;#a5a5a5;23-10-1979;996;0,03%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;08-12-1981;1.026.726;32,87%;59;33,71%;SAND;SAND;Anker Jørgensen;Året efter valgte regeringen at trække sig til fordel for en borgerlig firkløverregering (K-V-CD-KF).
Det Radikale Venstre;RV;4;#7d329b;08-12-1981;160.053;5,12%;9;5,14%;FALSK;FALSK;Niels Helvig Petersen;
Venstre;V;2;#115eb0;08-12-1981;353.280;11,31%;20;11,43%;FALSK;FALSK;Henning Christophersen;
Det Konservative Folkeparti;K;3;#4c962f;08-12-1981;451.478;14,45%;26;14,86%;FALSK;FALSK;Poul Schlüter;
Retsforbundet;RF;17;#b48cd2;08-12-1981;45.174;1,45%;0;0,00%;FALSK;FALSK;;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;08-12-1981;34.625;1,11%;0;0,00%;FALSK;FALSK;Jørgen Jensen;
Socialistisk Folkeparti;SF;25;#e07ea8;08-12-1981;353.373;11,31%;21;12,00%;FALSK;FALSK;Gert Petersen;
Venstresocialisterne;VS;28;#ed5741;08-12-1981;82.711;2,65%;5;2,86%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;08-12-1981;72.174;2,31%;4;2,29%;FALSK;FALSK;Christian Christensen;
Fremskridtspartiet;FP;31;#ebca47;08-12-1981;278.383;8,91%;16;9,14%;FALSK;FALSK;Mogens Glistrup;
Centrum-Demokraterne;CD;30;#970647;08-12-1981;258.522;8,28%;15;8,57%;FALSK;FALSK;Erhard Jakobsen;
Kommunistisk Arbejderparti;KAP;33;#7d360c;08-12-1981;4.223;0,14%;0;0,00%;FALSK;FALSK;;
Internationalen - Socialistisk Arbejderparti;ISA;34;#f5c6ed;08-12-1981;2.034;0,07%;0;0,00%;FALSK;FALSK;;
Uden for partierne;Uden;99;#a5a5a5;08-12-1981;807;0,03%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;10-01-1984;1.062.561;32,47%;56;32,00%;FALSK;FALSK;Anker Jørgensen;
Det Radikale Venstre;RV;4;#7d329b;10-01-1984;184.642;5,64%;10;5,71%;FALSK;FALSK;Niels Helvig Petersen;
Venstre;V;2;#115eb0;10-01-1984;405.737;12,40%;22;12,57%;SAND;FALSK;Henning Christophersen;
Det Konservative Folkeparti;K;3;#4c962f;10-01-1984;788.224;24,09%;42;24,00%;SAND;SAND;Poul Schlüter;
Retsforbundet;RF;17;#b48cd2;10-01-1984;50.381;1,54%;0;0,00%;FALSK;FALSK;;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;10-01-1984;23.085;0,71%;0;0,00%;FALSK;FALSK;Jørgen Jensen;
Socialistisk Folkeparti;SF;25;#e07ea8;10-01-1984;387.122;11,83%;21;12,00%;FALSK;FALSK;Gert Petersen;
Venstresocialisterne;VS;28;#ed5741;10-01-1984;89.356;2,73%;5;2,86%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;10-01-1984;2.151;0,07%;5;2,86%;SAND;FALSK;Christian Christensen;
Fremskridtspartiet;FP;31;#ebca47;10-01-1984;120.641;3,69%;6;3,43%;FALSK;FALSK;Mogens Glistrup;
Centrum-Demokraterne;CD;30;#970647;10-01-1984;154.553;4,72%;8;4,57%;SAND;FALSK;Erhard Jakobsen;
Internationalen - Socialistisk Arbejderparti;ISA;34;#f5c6ed;10-01-1984;2.151;0,07%;0;0,00%;FALSK;FALSK;;
Marxistisk-Leninistisk Parti;MLP;35;#7d360c;10-01-1984;978;0,03%;0;0,00%;FALSK;FALSK;Klaus Riis;
Uden for partierne;Uden;99;#a5a5a5;10-01-1984;956;0,03%;0;0,00%;FALSK;FALSK;;
Socialdemokratiet;S;1;#cf1b42;08-09-1987;985.906;29,32%;54;30,86%;FALSK;FALSK;Anker Jørgensen;
Det Radikale Venstre;RV;4;#7d329b;08-09-1987;209.086;6,22%;11;6,29%;FALSK;FALSK;Niels Helvig Petersen;
Venstre;V;2;#115eb0;08-09-1987;354.291;10,54%;19;10,86%;SAND;FALSK;Uffe Ellemann-Jensen;
Det Konservative Folkeparti;K;3;#4c962f;08-09-1987;700.886;20,84%;38;21,71%;SAND;SAND;Poul Schlüter;
Retsforbundet;RF;17;#b48cd2;08-09-1987;16.359;0,49%;0;0,00%;FALSK;FALSK;;
Danmarks Kommunistiske Parti;DKP;13;#e6801a;08-09-1987;28.974;0,86%;0;0,00%;FALSK;FALSK;Ole Sohn;
Socialistisk Folkeparti;SF;25;#e07ea8;08-09-1987;490.176;14,58%;27;15,43%;FALSK;FALSK;Gert Petersen;
Venstresocialisterne;VS;28;#ed5741;08-09-1987;46.141;1,37%;0;0,00%;FALSK;FALSK;Kollektiv ledelse;
Kristeligt Folkeparti;KF;29;#254264;08-09-1987;79.664;2,37%;4;2,29%;SAND;FALSK;Christian Christensen;
